Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
<<<<<<< HEAD
Afghanistan,55985,2457,49477,4051,26,4.39,88.38,4.97,38928341,1438.0,55847,138,0.25
Albania,117474,2045,80483,34946,653,1.74,68.51,2.54,2877800,40821.0,112897,4577,4.05
Algeria,115265,3036,79887,32342,122,2.63,69.31,3.8,43851043,2629.0,114234,1031,0.9
Andorra,11266,113,10796,357,38,1.0,95.83,1.05,77265,145810.0,11042,224,2.03
Angola,21380,521,19850,1009,57,2.44,92.84,2.62,32866268,651.0,21086,294,1.39
Antigua and Barbuda,963,27,598,338,1,2.8,62.1,4.52,97928,9834.0,848,115,13.56
Argentina,2195722,53670,1986903,155149,3697,2.44,90.49,2.7,45195777,48582.0,2149636,46086,2.14
Armenia,178385,3255,166180,8950,486,1.82,93.16,1.96,2963234,60199.0,174679,3706,2.12
Australia,29130,909,22957,5264,13,3.12,78.81,3.96,50919400,572.0,29046,84,0.29
Austria,493568,8873,457266,27429,2503,1.8,92.64,1.94,9006400,54802.0,475070,18498,3.89
Azerbaijan,240295,3282,230960,6053,603,1.37,96.12,1.42,10139175,23700.0,236768,3527,1.49
Bahamas,8658,185,7513,960,0,2.14,86.78,2.46,393248,22017.0,8600,58,0.67
Bahrain,131001,484,124367,6150,597,0.37,94.94,0.39,1701583,76988.0,126602,4399,3.47
Bangladesh,557395,8545,511695,37155,1159,1.53,91.8,1.67,164689383,3385.0,550330,7065,1.28
Barbados,3421,37,3174,210,17,1.08,92.78,1.17,287371,11904.0,3285,136,4.14
Belarus,302323,2095,293485,6743,995,0.69,97.08,0.71,9449321,31994.0,295511,6812,2.31
Belgium,808283,22441,0,785842,2962,2.78,0.0,9.386595744680852,23021022,35111.0,787891,20392,2.59
Belize,12370,316,11987,67,0,2.55,96.9,2.64,397621,31110.0,12335,35,0.28
Benin,6501,81,5552,868,0,1.25,85.4,1.46,12123198,536.0,6071,430,7.08
Bhutan,868,1,866,1,0,0.12,99.77,0.12,771612,1125.0,868,0,0.0
Bolivia,259389,11958,204813,42618,385,4.61,78.96,5.84,11673029,22221.0,254273,5116,2.01
Bosnia and Herzegovina,142160,5446,120158,16556,0,3.83,84.52,4.53,3280815,43331.0,135513,6647,4.91
Botswana,34098,424,28882,4792,0,1.24,84.7,1.47,2351625,14500.0,31746,2352,7.41
Brazil,11483370,278229,10113487,1091654,43812,2.42,88.07,2.75,422706534,27166.0,11019344,464026,4.21
Brunei,199,3,185,11,7,1.51,92.96,1.62,437483,455.0,189,10,5.29
Bulgaria,278557,11285,225182,42090,679,4.05,80.84,5.01,6948445,40089.0,260308,18249,7.01
Burkina Faso,12372,144,11965,263,22,1.16,96.71,1.2,20903278,592.0,12181,191,1.57
Burma,142147,3202,131739,7206,11,2.25,92.68,2.43,54409800,2613.0,142034,113,0.08
Burundi,2461,3,773,1685,20,0.12,31.41,0.39,11890781,207.0,2319,142,6.12
Cabo Verde,16101,156,15452,493,66,0.97,95.97,1.01,555988,28959.0,15782,319,2.02
Cambodia,1325,1,730,594,20,0.08,55.09,0.14,16718971,79.0,1011,314,31.06
Cameroon,40622,601,35261,4760,0,1.48,86.8,1.7,26545864,1530.0,35714,4908,13.74
Canada,914595,22455,860779,31361,2711,2.46,94.12,2.61,75750184,12074.0,892199,22396,2.51
Central African Republic,5023,63,4920,40,0,1.25,97.95,1.28,4829764,1040.0,5021,2,0.04
